,instant_day,dteday_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,instant_hour,dteday_hour,season_hour,yr_hour,mnth_hour,hr_hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,time_category_hour
10,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,11,2011-01-01,springer,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,morning
11,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,12,2011-01-01,springer,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,morning
12,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,13,2011-01-01,springer,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,afternoon
13,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14,2011-01-01,springer,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,afternoon
14,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,15,2011-01-01,springer,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,afternoon
15,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,16,2011-01-01,springer,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,afternoon
16,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,17,2011-01-01,springer,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,afternoon
17,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,18,2011-01-01,springer,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,afternoon
18,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,19,2011-01-01,springer,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,evening
19,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,20,2011-01-01,springer,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,evening
20,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,21,2011-01-01,springer,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,evening
21,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,22,2011-01-01,springer,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,evening
22,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,23,2011-01-01,springer,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,evening
23,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,24,2011-01-01,springer,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,evening
24,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,25,2011-01-02,springer,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,night
25,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,26,2011-01-02,springer,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,night
26,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,27,2011-01-02,springer,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,night
27,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,28,2011-01-02,springer,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,night
28,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,29,2011-01-02,springer,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,night
29,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,30,2011-01-02,springer,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,morning
30,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,31,2011-01-02,springer,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,morning
31,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,32,2011-01-02,springer,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,morning
32,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,33,2011-01-02,springer,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,morning
33,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,34,2011-01-02,springer,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,morning
34,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,35,2011-01-02,springer,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,morning
35,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,36,2011-01-02,springer,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,afternoon
36,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,37,2011-01-02,springer,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,afternoon
37,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,38,2011-01-02,springer,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,afternoon
38,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,39,2011-01-02,springer,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,afternoon
39,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,40,2011-01-02,springer,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,afternoon
40,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,41,2011-01-02,springer,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,afternoon
41,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,42,2011-01-02,springer,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,evening
42,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,43,2011-01-02,springer,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,evening
43,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,44,2011-01-02,springer,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,evening
44,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,45,2011-01-02,springer,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,evening
45,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,46,2011-01-02,springer,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,evening
46,2,2011-01-02,springer,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,47,2011-01-02,springer,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,evening
47,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,48,2011-01-03,springer,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,night
48,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,49,2011-01-03,springer,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,night
49,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,50,2011-01-03,springer,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,night
50,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,51,2011-01-03,springer,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,night
51,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,52,2011-01-03,springer,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,morning
52,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,53,2011-01-03,springer,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,morning
53,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,54,2011-01-03,springer,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,morning
54,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,55,2011-01-03,springer,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,morning
55,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,56,2011-01-03,springer,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,morning
56,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,57,2011-01-03,springer,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,morning
57,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,58,2011-01-03,springer,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,afternoon
58,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,59,2011-01-03,springer,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,afternoon
59,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,60,2011-01-03,springer,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,afternoon
60,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,61,2011-01-03,springer,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,afternoon
61,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,62,2011-01-03,springer,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,afternoon
62,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,63,2011-01-03,springer,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,afternoon
63,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,64,2011-01-03,springer,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,evening
64,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,65,2011-01-03,springer,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,evening
65,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,66,2011-01-03,springer,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,evening
66,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,67,2011-01-03,springer,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,evening
67,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,68,2011-01-03,springer,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,evening
68,3,2011-01-03,springer,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,69,2011-01-03,springer,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,evening
69,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,70,2011-01-04,springer,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,night
70,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,71,2011-01-04,springer,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,night
71,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,72,2011-01-04,springer,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,night
72,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,73,2011-01-04,springer,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,night
73,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,74,2011-01-04,springer,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,night
74,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,75,2011-01-04,springer,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,morning
75,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,76,2011-01-04,springer,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,morning
76,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,77,2011-01-04,springer,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,morning
77,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,78,2011-01-04,springer,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,morning
78,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,79,2011-01-04,springer,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,morning
79,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,80,2011-01-04,springer,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,morning
80,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,81,2011-01-04,springer,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,afternoon
81,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,82,2011-01-04,springer,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,afternoon
82,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,83,2011-01-04,springer,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,afternoon
83,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,84,2011-01-04,springer,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,afternoon
84,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,85,2011-01-04,springer,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,afternoon
85,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,86,2011-01-04,springer,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,afternoon
86,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,87,2011-01-04,springer,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,evening
87,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,88,2011-01-04,springer,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,evening
88,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,89,2011-01-04,springer,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,evening
89,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,90,2011-01-04,springer,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,evening
90,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,91,2011-01-04,springer,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,evening
91,4,2011-01-04,springer,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,92,2011-01-04,springer,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,evening
92,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,93,2011-01-05,springer,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,night
93,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,94,2011-01-05,springer,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,night
94,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,95,2011-01-05,springer,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,night
95,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,96,2011-01-05,springer,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,night
96,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,97,2011-01-05,springer,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,night
97,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,98,2011-01-05,springer,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,morning
98,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,99,2011-01-05,springer,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,morning
99,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,100,2011-01-05,springer,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,morning
100,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,101,2011-01-05,springer,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,morning
101,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,102,2011-01-05,springer,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,morning
102,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,103,2011-01-05,springer,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,morning
103,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,104,2011-01-05,springer,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,afternoon
104,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,105,2011-01-05,springer,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,afternoon
105,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,106,2011-01-05,springer,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,afternoon
106,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,107,2011-01-05,springer,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,afternoon
107,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,108,2011-01-05,springer,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,afternoon
108,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,109,2011-01-05,springer,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,afternoon
109,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,110,2011-01-05,springer,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,evening
110,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,111,2011-01-05,springer,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,evening
111,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,112,2011-01-05,springer,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,evening
112,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,113,2011-01-05,springer,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,evening
113,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,114,2011-01-05,springer,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,evening
114,5,2011-01-05,springer,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,115,2011-01-05,springer,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,evening
115,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,116,2011-01-06,springer,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,night
116,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,117,2011-01-06,springer,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,night
117,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,118,2011-01-06,springer,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,night
118,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,119,2011-01-06,springer,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,night
119,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,120,2011-01-06,springer,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,night
120,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,121,2011-01-06,springer,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,morning
121,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,122,2011-01-06,springer,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,morning
122,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,123,2011-01-06,springer,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,morning
123,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,124,2011-01-06,springer,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,morning
124,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,125,2011-01-06,springer,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,morning
125,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,126,2011-01-06,springer,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,morning
126,6,2011-01-06,springer,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,127,2011-01-06,springer,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,afternoon
